horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
1,0,0.0,0.0,0.0,0.0,0.8900000000000001,0.9138888888888889,0,0,10,10
1,1,0.0,0.0,0.0,0.0,0.5902777777777778,0.5363966836683555,0,0,12,12
1,2,0.0,0.0,0.0,0.0,0.85,0.7,0,0,10,2
1,3,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
1,5,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,6,0.0,0.0,0.0,0.0,0.55,0.6527777777777778,0,0,5,4
1,7,0.0,0.0,0.0,0.0,0.39999999999999997,0.4206349206349206,0,0,5,3
1,8,0.0,0.0,0.0,0.0,0.7755102040816326,0.8119975262832404,0,0,7,7
1,9,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,5
1,10,0.0,0.0,0.0,0.0,0.75,0.5833333333333334,0,0,10,2
1,11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,12,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
1,13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
1,15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
1,16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
1,17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,6,6
1,18,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,0,0,7,7
1,19,0.0,0.0,0.0,0.0,0.85,0.7,0,0,10,2
1,20,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,24,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,25,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,28,0.0,0.0,0.0,0.16666666666666666,,,0,1,5,0
1,29,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,30,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
1,31,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,32,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
